lsoacode,dwe_p45pc,dwe_p16pc,dwe_modbp,dwe_mo20bp,dwe_medbp,dwe_mdargb
E01020634,0.5105,0.0294,A,A,F,"rgb(117,112,125)"
E01020635,0.5348,0.0216,A,A,F,"rgb(118,133,118)"
E01020636,0.8,0,F,F,F,"rgb(90,223,55)"
E01020654,0.6793,0.0828,A,X,G,"rgb(140,117,82)"
E01020676,0.4951,0.0042,A,A,D,"rgb(83,134,136)"
E01020613,0.9627,0.0018,F,F,G,"rgb(128,221,19)"
E01020614,0.8743,0.0138,F,F,F,"rgb(76,218,69)"
E01020622,0.6308,0.0057,H,H,H,"rgb(156,170,94)"
E01020623,0.971,0.0725,H,H,I,"rgb(247,202,7)"
E01020627,0.4944,0.0014,A,A,D,"rgb(75,142,147)"
E01020628,0.5526,0.0036,D,D,F,"rgb(88,146,123)"
E01020629,0.533,0.1294,D,D,E,"rgb(79,147,156)"
E01020655,0.6649,0.0011,K,K,G,"rgb(126,129,108)"
E01020656,0.5251,0.0042,E,E,E,"rgb(33,178,190)"
E01020657,0.6379,0.0031,A,A,G,"rgb(140,136,92)"
E01020661,0.5345,0.0238,A,A,H,"rgb(127,89,120)"
E01020662,0.5319,0,B,X,E,"rgb(90,145,152)"
E01020663,0.6858,0.0011,G,G,G,"rgb(138,149,80)"
E01020674,0.9961,0.0013,H,H,H,"rgb(187,242,16)"
E01020678,0.8303,0,H,H,G,"rgb(141,223,43)"
E01020606,0.3005,0.024,A,A,A,"rgb(65,65,178)"
E01020615,0.7648,0.0012,G,G,G,"rgb(172,183,59)"
E01020616,0.7584,0.0481,E,E,E,"rgb(95,154,135)"
E01020617,0.6923,0.1197,L,L,H,"rgb(153,120,83)"
E01020626,0.7746,0.0012,G,G,G,"rgb(129,193,57)"
E01020638,0.5297,0,A,A,F,"rgb(92,136,120)"
E01020639,0.5503,0.0024,D,X,E,"rgb(91,135,128)"
E01020653,0.4686,0.0028,A,A,D,"rgb(73,132,151)"
E01020677,0.5118,0.0044,D,D,F,"rgb(76,175,124)"
E01020596,0.578,0.0256,E,E,E,"rgb(42,200,178)"
