period_start,period_end,cap_level,cap_applied,cap_type
1/1/2019,30/4/2019,1137,1137,Price Cap
1/4/2019,30/9/2019,1254,1254,Price Cap
1/10/2019,31/3/2020,1179,1179,Price Cap
1/4/2020,30/9/2020,1162,1162,Price Cap
1/10/2020,31/3/2021,1042,1042,Price Cap
1/4/2021,30/9/2021,1138,1138,Price Cap
1/10/2021,31/3/2022,1277,1277,Price Cap
1/4/2022,30/9/2022,1971,1971,Price Cap
1/10/2022,31/12/2022,3549,2500,EPG
1/1/2023,31/3/2023,4279,2500,EPG
1/4/2023,30/6/2023,3280,2500,EPG
1/7/2023,30/9/2023,2074,2074,Price Cap
1/10/2023,31/12/2023,1834,1834,Price Cap
1/1/2024,31/3/2024,1928,1928,Price Cap
1/4/2024,30/6/2024,1690,1690,Price Cap
1/7/2024,30/9/2024,1568,1568,Price Cap
1/10/2024,31/12/2024,1717,1717,Price Cap
1/1/2025,31/3/2025,1738,1738,Price Cap
1/4/2025,30/6/2025,1849,1849,Price Cap
1/7/2025,30/9/2025,1720,1720,Price Cap
1/10/2025,31/12/2025,1755,1755,Price Cap
1/1/2026,31/3/2026,1758,1758,Price Cap
1/4/2026,30/6/2026,1784,1784,Price Cap
